emp_no,first_name,last_name,title,to_date
10001,Georgi,Facello,Senior Engineer,1/1/99
10004,Chirstian,Koblick,Senior Engineer,1/1/99
10006,Anneke,Preusig,Senior Engineer,1/1/99
10009,Sumant,Peac,Senior Engineer,1/1/99
10018,Kazuhide,Peha,Senior Engineer,1/1/99
10019,Lillian,Haddadi,Staff,1/1/99
10020,Mayuko,Warwick,Engineer,1/1/99
10022,Shahaf,Famili,Engineer,1/1/99
10023,Bojan,Montemayor,Engineer,1/1/99
10026,Yongqiao,Berztiss,Senior Engineer,1/1/99
10035,Alain,Chappelet,Senior Engineer,1/1/99
10047,Zvonko,Nyanchama,Senior Engineer,1/1/99
10051,Hidefumi,Caine,Senior Engineer,1/1/99
10053,Sanjiv,Zschoche,Senior Staff,1/1/99
10057,Ebbe,Callaway,Senior Engineer,1/1/99
10058,Berhard,McFarlin,Senior Staff,1/1/99
10059,Alejandro,McAlpine,Senior Staff,1/1/99
10063,Gino,Leonhardt,Senior Engineer,1/1/99
10066,Kwee,Schusler,Senior Engineer,1/1/99
10067,Claudi,Stavenow,Senior Engineer,1/1/99
10070,Reuven,Garigliano,Technique Leader,1/1/99
10072,Hironoby,Sidou,Senior Engineer,1/1/99
10074,Mokhtar,Bernatsky,Technique Leader,1/1/99
10076,Erez,Ritzmann,Senior Engineer,1/1/99
10091,Amabile,Gomatam,Senior Engineer,1/1/99
10096,Jayson,Mandell,Engineer,1/1/99
10103,Akemi,Birch,Engineer,1/1/99
10106,Eben,Aingworth,Senior Engineer,1/1/99
10127,Subir,Baja,Senior Engineer,1/1/99
10129,Armond,Peir,Technique Leader,1/1/99
10130,Nishit,Casperson,Senior Engineer,1/1/99
10134,Diederik,Siprelle,Senior Engineer,1/1/99
10138,Perry,Shimshoni,Senior Engineer,1/1/99
10150,Zhenbing,Perng,Senior Engineer,1/1/99
10153,Heekeun,Majewski,Assistant Engineer,1/1/99
10157,Nigel,Aloisi,Senior Engineer,1/1/99
10159,Serif,Buescher,Senior Engineer,1/1/99
10163,Karsten,Szmurlo,Senior Staff,1/1/99
10166,Samphel,Siegrist,Engineer,1/1/99
10183,Mechthild,Bonifati,Staff,1/1/99
10196,Marc,Hellwagner,Staff,1/1/99
10198,Pranav,Furedi,Senior Engineer,1/1/99
10205,Mabhin,Leijenhorst,Senior Engineer,1/1/99
10207,Girolamo,Anandan,Senior Engineer,1/1/99
10215,Xiaobin,Duclos,Senior Staff,1/1/99
10219,Genta,Kolvik,Senior Staff,1/1/99
10224,Leon,Trogemann,Senior Engineer,1/1/99
10239,Nikolaos,Llado,Staff,1/1/99
10240,Remko,Maccarone,Engineer,1/1/99
10249,Marie,Boreale,Senior Engineer,1/1/99
10258,Basil,Ishibashi,Senior Engineer,1/1/99
10262,Mahendra,Maraist,Staff,1/1/99
10272,Yishai,Cannane,Staff,1/1/99
10281,Moty,Kusakari,Senior Engineer,1/1/99
10282,Hercules,Benzmuller,Engineer,1/1/99
10283,Kauko,Birjandi,Senior Engineer,1/1/99
10284,Masali,Murrill,Engineer,1/1/99
10298,Dietrich,DuCasse,Staff,1/1/99
10306,Heng,Kilgour,Staff,1/1/99
10307,Nikolaos,Leaver,Engineer,1/1/99
10322,Isamu,Dahlbom,Senior Engineer,1/1/99
10325,Arunachalam,Badr,Senior Staff,1/1/99
10326,Masali,Czap,Staff,1/1/99
10328,Serenella,Kawashima,Engineer,1/1/99
10333,Snehasis,Dymetman,Senior Engineer,1/1/99
10343,Dinah,Syrzycki,Senior Engineer,1/1/99
10347,Pradeep,Kaminger,Staff,1/1/99
10353,Phule,Hammerschmidt,Senior Staff,1/1/99
10355,Satyanarayana,Cochrane,Staff,1/1/99
10356,Vasilis,Standera,Senior Staff,1/1/99
10358,Qunsheng,Tagansky,Technique Leader,1/1/99
10364,Nakhoon,Dengi,Senior Engineer,1/1/99
10372,Anneli,Frijda,Technique Leader,1/1/99
10377,Marl,Grospietsch,Senior Engineer,1/1/99
10388,Hironoby,Kaiser,Staff,1/1/99
10389,Make,Peir,Technique Leader,1/1/99
10396,Sibyl,Rahier,Senior Engineer,1/1/99
10397,Irena,Reutenauer,Technique Leader,1/1/99
10402,Volkmar,Ebeling,Technique Leader,1/1/99
10404,Prodip,Rosti,Senior Engineer,1/1/99
10407,Ulf,Siepmann,Senior Staff,1/1/99
10418,Candida,Porotnikoff,Staff,1/1/99
10422,Greger,Rubsam,Engineer,1/1/99
10426,Arunas,Luce,Technique Leader,1/1/99
10429,Martien,Improta,Senior Engineer,1/1/99
10433,Reuven,Dengi,Engineer,1/1/99
10451,Bodh,Ranta,Senior Engineer,1/1/99
10463,Ung,Zaiane,Staff,1/1/99
